Username,Tweet,Sentimen
liz,ini sudah fix kah https pg2htfp2k1, negatif
celebritiesdotid,viral pemilik warkop ngamuk usai kena ppkm darurat malah ancam ceraikan istri celebritiesdotid infocelebterkini https aanw8kbu0h, negatif
polri presisi,kegiatan ppkm darurat polresta tangerang penyekatan kendaraan dan pembagian bansos polrikawalppkm polripresisi https tyf8exkljr, positif
awal media nusantara | inspirasi dunia masa kini,patut ditiru begini cara yogyakarta hidupi pelaku kuliner tengah ppkm darurat https wnkvu2tej9 awalmedianusantara berita, positif
pelitanews,penyaluran bsps bulan juli desa arjawinangun ditengah pandemi covid dan masa ppkm darurat https bcstzzymnz 2021 https 89uz2dzrgz, positif
pt. jasamarga,mekanisme penyekatan pada lokasi pengendalian mobilitas jalan tol jasa marga group dalam rangka penerapan ppkm darurat https 3qukphp4ve, positif
pt. jasamarga,lokasi pengendalian mobilitas jalan tol jasa marga group dalam rangka penerapan ppkm darurat https bj4mjgahcn, positif
vivacoid,bobby sebut kemungkinan besar ppkm darurat medan hingga agustus https 9sxp69ekr5, netral
pt. jasamarga, wib tol japek karawang barat 200 arah jakarta diberlakukan penyekatan ppkm darurat, positif
pt. jasamarga, wib tol japek cikarang barat arah cikampek padat diberlakukan penyekatan ppkm darurat cikampek dawuan cikarang cikunir cawang lancar, positif
humas polsek ciputat timur,penegakkan ppkm darurat dilaksanakan pilar dipimpin drs sutang supriyanto https n0lmhdsnbi camat ciputat timur menyisir kerumunan para pedagang berkerumun serta menghimbau agar para warga amp pedagang untuk jaga jarak dan tidak makan tempat sabtu https cxjfn9znsd, positif
toga,ppkm darurat dilakukan pemerintah setelah upaya lain telah dilakukan pemerintah masih tdk bisa membendung penyebaran covid19 tdk dukung itu orang2 hanya mikirin dirinya sendiri dan kaum kadrun mabok agama, negatif
detikcom,presiden jokowi menyoroti ppkm darurat jakarta berdasarkan hasil pantauannya kondisi pulogadung jaktim masih ramai meski ada penyekatan ppkm darurat https ewacaz7sgk, negatif
heri erpela. e-ktp.: maisuhandri bsc.,petpanjangan ppkm darurat covid19 bisa bikin rakyat banyak ngamuk berakhir penjarahanmassal penjarahanmassal, negatif
ⓜ️🅰️❎,melihat militer turun bantu polisi mengawal ppkm darurat menteri ini menganggap itu darurat militer pecat, negatif
sayang,usul ppkm darurat diperpanjang sampai dia bales chatt saya mohon kita semua paham varian rindu ini tidak bisa dikendalikan ujar pak menteri, netral
indopolitika.com,luhut minta maaf ppkm darurat belum optimal keputusan perpanjangan diumumkan hari lagi https smsjdyljv2, negatif
indopolitika.com,luhut minta maaf ppkm darurat belum optimal keputusan perpanjangan diumumkan hari lagi https smsjdycuma via indopolitika, negatif
transportasi jakarta, agoestonoo hai kak menggunakan strp berlaku setiap hari selama masa ppkm darurat saat ini apabila ada perubahan layanan akan kami informasikan pada aplikasi tije semoga sehat selalu kak, netral
ketua dprd bikini bottom,ppkm darurat diperpanjang sampe summer ngaku salah karena udah ngejahatin tom, netral
holopiscom,ppkm darurat tak optimal luhut minta maaf seluruh rakyat indonesia luhutbinsarpanjaitan ppkmdarurat mintamaaf kemenkomarves jokowi https an0lzrbabf, negatif
🇮🇩 rakyat jelata 🇮🇩, jansen jsp klo caranya msh spt skrg saya yakin seyakin yakinnya ppkm darurat tdk akan berhasil, negatif
detikfinance,perbankan merupakan salah satu sektor esensial yang bisa tetap beroperasi selama masa ppkm darurat kala pandemi covid https sxds5zx6lk, positif
pmi kota pekalongan,stok darah menipis selama ppkm darurat pmi ajak masyarakat berdonor kota pekalongan tengah pandemi covid ketersediaan darah unit donor darah palang merah indonesia udd pmi kota pekalongan kembali menipis padahal meski pandemi persediaan darah sangat dibu https fyaukusjxj, negatif
din, tubirfess mungkin ppkm darurat ada fungsi menurunkan angka covid19 menurunkan pengetahuan masyarakat tentang tka becandadoang, netral
sekretariat kabinet,keterangan pers menteri sosial tri rismaharini mengenai evaluasi pelaksanaan ppkm darurat sabtu 2021 lensakabinet kemensos https ue97fynts4, netral
radar lampung tv,ppkm darurat bandarlampung mobil patroli sulap gerobak sayur https qynqv4kplq, netral
annas binarjo, sseemsms fawhfl tirta hudhi usaha non essential ppkm darurat boleh buka, netral
harian jogja,selama ppkm darurat pasien covid meninggal naik 116 https kczssgbjl8 beritajogja jogja jogjaistimewa https jhdv9izr6h, negatif
bogordaily.net,bupati bogor beberkan upaya pemkab bogor selama pelaksanaan ppkm darurat https tdobjv99sv, positif
hioe, nkrijaya  dear pak jokowi jgn telan bulat2 omongan who bangsa kita besar kuat dan hebat tolong stop ppkm darurat kami butuh makan dan gak butuh media propaganda covid tingkat kesembuhan jauh dan tingkat kematian dibawah secara nasional dan dunia sehat selalu pak, positif
humasngablak,penyaluran bantuan sosial polres magelang melalui polsek ngablak kepada warga dsn ngablak dalam rangka ppkm darurat untuk meringankan beban warga https wlbqqytjtm, positif
fathur ., jokowi maaf pak ppkm darurat ternyata tdk bisa menurunkan kasus positif covid tapi justru ppkm darurat berhasil menurunkan ekonomi masyarakat bawah dlm kesulitan dalam bnyk warga sulit mencari nafkah untuk keluarga nya karena bnyk tmpt usaha tutup hentikan, negatif
sindonews,tim pakar pemerintah akui ppkm darurat belum turunkan kasus covid sindonews bukanberitabiasa https 3sppnbagpd, negatif
jombang tv,gema puan tolak ppkm darurat perpanjang https 912rczggkp, positif
sekretariat kabinet,keterangan pers menteri keuangan sri mulyani indrawati mengenai evaluasi pelaksanaan ppkm darurat sabtu 2021 lensakabinet kemenkeuri https bdihmgspm9, positif
polsek turi,anggota polsek turi pimpin oleh kaleb andika wilayah kapanewon turi sleman melaksanakan giat patroli gabungan polsek turi koramil turi dan kapanewon turi sleman serta satgas covid turi dalam rangka penerapan pembatasan kegiatan masyarakat ppkm darurat situasi lancar https y22ufvolfy, positif
kumparan,listyo sigit mengatakan bahwa selama ppkm darurat ini tingkat kepatuhan masyarakat memakai masker mencapai persen kumparannews https zjenvjd5yb, positif
laptophia,begini cara habiskan baterai 7000mah samsung galaxy m62 selama ppkm darurat https s1oqcwtfuh laptophia, netral
sekretariat kabinet,keterangan pers wakil menteri kesehatan dante saksono harbuwono mengenai evaluasi pelaksanaan ppkm darurat sabtu 2021 lensakabinet kemenkesri https wpnq4y1xoq, negatif
liputan.co.id,ppkm darurat akan diperpanjang ketua dpd pemerintah siapkan segala kebutuha https 3fhwfoweia, positif
genpi.co,luhut binsar pandjaitan edang melakukan evaluasi pelaksanaan ppkm darurat jawa bali yang disebut kurang efektif luhutbinsarpandjaitan https 9aqctyelgs, positif
fajar romadhoni,selama ppkm darurat ini lampu jalanan matiin gimana perasaan michael faraday dan thomas alva edison, negatif
polsek tegalsari resta banyuwangi,giat patroli gabungan melaksanakan penyekatan dan ops yustisi dalam rangka ppkm darurat penanganan covid wilayah kecamatan tegalsari kabupaten banyuwangi https g7gdfej5sx, positif
., areajulid ppkm darurat reborn, negatif
netanyahudiziont'ris,ppkm darurat gua aja faham luh manusia katanya punya akal burung https ftskipsdoh, netral
dita trinugroho,tadi sekilas nonton yang efektif adalah tetap pakai masker dan patuhi protokol kesehatan lalu kenapa ppkm darurat diperpanjang mbuhlahh cepatlah sembuh negeriku ppkmdarurat, positif
marlina ▪ mawar 🌹,luhut minta maaf rakyat ppkm darurat jawa bali belum optimal sportif penggantinya siapa https fplvcfqpbz, negatif
sekretariat kabinet,keterangan pers menteri dalam negeri tito karnavian mengenai evaluasi pelaksanaan ppkm darurat sabtu 2021 lensakabinet kemendagri https 58jp1asiim, positif
masturbisa,pakar usul ppkm darurat diperpanjang sampai kamu mendapat restu dari orang tuanya, negatif
transportasi jakarta, agoestonoo hai kak iya benar setiap hari selama masa ppkm darurat saat ini apabila ada perubahan layanan akan kami informasikan pada aplikasi tije semoga sehat selalu kak, netral
lanang del rey,pelaksanaan ppkm darurat membuat sebagian besar kegiatan ekonomi terhenti dalam keterbatasan ini presiden jokowi telah memerintahkan kemensosri untuk menyalurkan bantuan sosial masyarakat presiden juga berpesan agar bantuan jangan sampe terlambat didistribusikan https dulljfgekd, positif
kabarmedan.com,protes ppkm darurat pemilik warkop ini didatangi wakil wali kota medan https zkt3df2xuy, netral
besok pagi,ppkm darurat untuk pulihkan indonesia dari pandemi covid https aywdzyb1mb, negatif
zetira wor,itu kedai kopi gow ppkm darurat dimulai tetep buka sampectengah malam dan ada polisi berani gerebek silakan pikir sendiri berarti org terselubungnya org berpengaruh kita bohong nyata, negatif
kitong sehat,ppkm darurat untuk pulihkan indonesia dari pandemi covid https pahxerx2q8, negatif
politik merah cimahi,sambangi pkl bupati nina agustina serahkan bantuan indramayu penerapan pemberlakuan pembatasan kegiatan masyarakat ppkm darurat wilayah kabupaten indramayu jawa barat saat ini menjadi perhatian serius bupati indramayu nina agustina https omfx43fqrq, positif
aynin yuliana, e100ss sengaja dipadamkan selama ppkm darurat maksimal jam malam wib, negatif
